time_val,ssr
2020-12-13,9699082.848762501
2020-12-14,10412834.248993231
2020-12-15,10141625.93648095
2020-12-16,10216531.089460533
2020-12-17,9755476.958189659
2020-12-18,9985788.779132627
2020-12-19,9929394.66970547
2020-12-20,9903565.30660906
2020-12-21,10005160.801454931
2020-12-22,10007313.248379633
2020-12-23,8143294.211588888
2020-12-24,10192854.173288826
2020-12-25,10133877.127552029
2020-12-26,9701235.295687202
2020-12-27,9887637.199366277
2020-12-28,6459650.227088057
2020-12-29,6789405.095952193
2020-12-30,10827826.01607551
2020-12-31,10833024.6588217
2021-01-01,10701348.03235226
2021-01-02,10510524.85563261
2021-01-03,9448477.31099384
2021-01-04,9687222.145215483
2021-01-05,10760494.582602467
2021-01-06,11229349.71816251
2021-01-07,11475002.178690746
2021-01-08,11362321.524564438
2021-01-09,11334691.019338062
2021-01-10,10931458.33369066
2021-01-11,11407221.095557295
2021-01-12,11475865.63197907
2021-01-13,11495293.330966365
2021-01-14,11409811.455422267
2021-01-15,9182533.698189985
2021-01-16,11719359.459286496
2021-01-17,12184329.055049079
2021-01-18,12154971.643246055
2021-01-19,11652010.102797206
2021-01-20,11254821.590168074
2021-01-21,10719480.551407069
2021-01-22,9831850.571009787
2021-01-23,12003867.31778932
2021-01-24,9090144.196339296
2021-01-25,3039495.2784074433
2021-01-26,12552160.15587519
2021-01-27,11250504.323726453
2021-01-28,13535201.724632295
2021-01-29,13347400.63442178
2021-01-30,13337470.92160605
2021-01-31,12836668.014378013
2021-02-01,13635794.032722063
2021-02-02,14003625.133548174
2021-02-03,13730773.894437727
2021-02-04,12395875.110688508
2021-02-05,12993816.512853019
2021-02-06,14270432.199640352
2021-02-07,12575473.394659942
2021-02-08,14164659.171820639
2021-02-09,14444418.03723768
2021-02-10,14631355.67415987
2021-02-11,14905502.093202805
2021-02-12,14148253.559342477
2021-02-13,8015144.852375664
2021-02-14,8399381.565679934
2021-02-15,15797017.613397544
2021-02-16,15967981.364485737
2021-02-17,16332790.378802713
2021-02-18,16249035.409835264
2021-02-19,16470942.904934585
2021-02-20,16585350.465637542
2021-02-21,16657448.815212613
2021-02-22,16583623.559060894
2021-02-23,16540019.168000521
2021-02-24,7734090.807026136
2021-02-25,11389520.30314665
2021-02-26,13069800.402225548
2021-02-27,16980812.071690027
2021-02-28,3221683.9222438503
2021-03-01,11670574.348496178
2021-03-02,18045449.97619377
2021-03-03,17769144.923930023
2021-03-04,17842538.45343758
2021-03-05,13061165.869342307
2021-03-06,8040616.724381228
2021-03-07,17794185.069291428
2021-03-08,16534838.448270576
2021-03-09,18793632.25052669
2021-03-10,14449167.030323463
2021-03-11,10869721.42357548
2021-03-12,17975510.25983951
2021-03-13,14228122.988512468
2021-03-14,16938934.587206304
2021-03-15,6770045.210612163
2021-03-16,20598681.349768437
2021-03-17,19727888.70849348
2021-03-18,6628007.144682831
2021-03-19,9941940.865271123
2021-03-20,16190752.31287338
2021-03-21,22247877.130467664
2021-03-22,22134333.02305303
2021-03-23,21992726.683767863
2021-03-24,19901011.09280248
2021-03-25,18891202.472107325
2021-03-26,9122955.421295617
2021-03-27,12392853.024179373
2021-03-28,21479835.430503286
2021-03-29,6661681.822927476
2021-03-30,22464172.17919288
2021-03-31,18576042.021868993
2021-04-01,11189630.866899597
2021-04-02,2887095.7730182223
2021-04-03,11614018.158110943
2021-04-04,23363458.778982535
2021-04-05,18185329.40890229
2021-04-06,22651973.26940339
2021-04-07,23051752.1418975
2021-04-08,23624221.672056444
2021-04-09,22186571.946996648
2021-04-10,23393247.917429723
2021-04-11,14553644.878210692
2021-04-12,16666083.348095855
2021-04-13,23477002.886397168
2021-04-14,25057122.404030457
2021-04-15,22525909.08930806
2021-04-16,24201871.921945337
2021-04-17,26002603.75474546
2021-04-18,25553608.044816874
2021-04-19,24615897.77369679
2021-04-20,10642633.208746213
2021-04-21,3516984.9468507282
2021-04-22,9822352.58483822
2021-04-23,11089470.285453988
2021-04-24,13673354.250764167
2021-04-25,9002071.960930228
2021-04-26,7851088.7275940655
2021-04-27,26658828.253871858
2021-04-28,25465104.082763646
2021-04-29,22806099.68136926
2021-04-30,21355066.43034044
2021-05-01,25344220.622398257
2021-05-02,24512715.105742052
2021-05-03,10442312.045854999
2021-05-04,26016850.734002814
2021-05-05,27245113.03664399
2021-05-06,26094129.803307828
2021-05-07,27154450.44136995
2021-05-08,26552191.77276382
2021-05-09,20849514.53002662
2021-05-10,20544715.519248173
2021-05-11,25450857.103506297
2021-05-12,26032824.619836807
2021-05-13,20386271.840840682
2021-05-14,8327283.216104863
2021-05-15,10381006.86238398
2021-05-16,6067194.233916261
2021-05-17,27005936.475778185
2021-05-18,27002914.389269054
2021-05-19,18984023.700602178
2021-05-20,19956703.829899393
2021-05-21,25258738.746854164
2021-05-22,23950607.015042994
2021-05-23,17184587.04773454
2021-05-24,27717853.71200149
2021-05-25,28034741.068816476
2021-05-26,22582033.553049132
2021-05-27,27544299.601048328
2021-05-28,28200524.10017472
2021-05-29,27388446.28250581
2021-05-30,25751770.574487284
2021-05-31,24279582.717894517
2021-06-01,20713088.910471395
2021-06-02,23230918.69922477
2021-06-03,17485932.245359685
2021-06-04,27995022.217553563
2021-06-05,28331769.0
2021-06-06,25832071.730301432
2021-06-07,21204825.55817203
2021-06-08,24771751.092239313
2021-06-09,18582517.921531424
2021-06-10,18589425.547838017
2021-06-11,27123366.12299028
2021-06-12,22177073.96082508
2021-06-13,21649935.728303157
2021-06-14,4032898.286624439
2021-06-15,16051736.333453184
2021-06-16,11579480.026577974
2021-06-17,9494240.335275024
2021-06-18,26770645.454709843
2021-06-19,27549480.320778273
2021-06-20,27500263.483343795
2021-06-21,26599249.976977486
2021-06-22,26895414.45487269
2021-06-23,22351923.25171073
2021-06-24,15493945.509195749
2021-06-25,16962247.825991057
2021-06-26,26533627.527064845
2021-06-27,21731963.790693954
2021-06-28,23967444.354165316
2021-06-29,11897230.83668128
2021-06-30,23059954.948136576
2021-07-01,14300221.338087538
2021-07-02,17276544.822941065
2021-07-03,20940177.12530066
2021-07-04,23599181.526695043
2021-07-05,22132174.38983222
2021-07-06,22296230.514613822
2021-07-07,19542246.251503773
2021-07-08,22685216.221003875
